"lon" "lat" "currentDist"
"1178" 13 50 113
"1179" 13 51 89
"1180" 13 52 93
"1181" 13 53 110
"1182" 13 54 95
"1183" 13 55 158
"1184" 13 56 109
"1185" 13 57 85
"1186" 13 58 129
"1187" 13 59 95
"1188" 13 60 111
"1189" 13 61 133
"1190" 13 62 162
"1191" 13 63 191
"1192" 13 64 141
"1193" 13 65 118
"1194" 13 66 98
"1195" 13 67 74
"1196" 13 68 104
"1197" 13 69 118
"1198" 13 70 78
"1199" 13 71 88
"1200" 13 72 96
"1201" 13 73 92
"1202" 13 74 94
"1203" 13 75 92
"1204" 13 76 98
"1205" 13 77 86
"1206" 13 78 117
"1207" 13 79 127
"1208" 13 80 123
"1209" 13 81 135
"1210" 13 82 133
"1211" 13 83 111
"1212" 13 84 96
"1213" 13 85 93
"1214" 13 86 118
"1215" 13 87 104
"1216" 13 88 116
"1217" 13 89 94
"1218" 13 90 103
"1219" 13 91 81
"1220" 13 92 90
"1221" 13 93 108
"1222" 13 94 121
"1223" 14 1 156
"1224" 14 2 151
"1225" 14 3 131
"1226" 14 4 178
"1227" 14 5 113
"1228" 14 6 133
"1229" 14 7 149
"1230" 14 8 115
"1231" 14 9 99
"1232" 14 10 115
"1233" 14 11 107
"1234" 14 12 106
"1235" 14 13 136
"1236" 14 14 132
"1237" 14 15 130
"1238" 14 16 121
"1239" 14 17 119
"1240" 14 18 140
"1241" 14 19 107
"1242" 14 20 145
"1243" 14 21 131
"1244" 14 22 142
"1245" 14 23 129
"1246" 14 24 133
"1247" 14 25 140
"1248" 14 26 142
"1249" 14 27 148
"1250" 14 28 168
"1251" 14 29 172
"1252" 14 30 200
"1253" 14 31 188
"1254" 14 32 146
"1255" 14 33 135
"1256" 14 34 147
"1257" 14 35 142
"1258" 14 36 169
"1259" 14 37 186
"1260" 14 38 183
"1261" 14 39 136
"1262" 14 40 146
"1263" 14 41 141
"1264" 14 42 104
"1265" 14 43 151
"1266" 14 44 108
"1267" 14 45 117
"1268" 14 46 113
"1269" 14 47 65
"1270" 14 48 102
"1271" 14 49 90
"1272" 14 50 126
"1273" 14 51 102
"1274" 14 52 118
"1275" 14 53 98
"1276" 14 54 71
"1277" 14 55 118
"1278" 14 56 117
"1279" 14 57 109
"1280" 14 58 129
"1281" 14 59 98
"1282" 14 60 114
"1283" 14 61 128
"1284" 14 62 123
"1285" 14 63 151
"1286" 14 64 140
"1287" 14 65 124
"1288" 14 66 138
"1289" 14 67 82
"1290" 14 68 98
"1291" 14 69 110
"1292" 14 70 84
"1293" 14 71 72
"1294" 14 72 88
"1295" 14 73 100
"1296" 14 74 80
"1297" 14 75 104
"1298" 14 76 90
"1299" 14 77 101
"1300" 14 78 117
"1301" 14 79 105
"1302" 14 80 133
"1303" 14 81 129
"1304" 14 82 140
"1305" 14 83 123
"1306" 14 84 77
"1307" 14 85 97
"1308" 14 86 136
"1309" 14 87 114
"1310" 14 88 106
"1311" 14 89 98
"1312" 14 90 111
"1313" 14 91 78
"1314" 14 92 106
"1315" 14 93 100
"1316" 14 94 123
"1317" 15 1 160
"1318" 15 2 155
"1319" 15 3 139
"1320" 15 4 143
"1321" 15 5 123
"1322" 15 6 121
"1323" 15 7 127
"1324" 15 8 131
"1325" 15 9 97
"1326" 15 10 77
"1327" 15 11 117
"1328" 15 12 100
"1329" 15 13 108
"1330" 15 14 130
"1331" 15 15 145
"1332" 15 16 115
"1333" 15 17 118
"1334" 15 18 147
"1335" 15 19 133
"1336" 15 20 124
"1337" 15 21 150
"1338" 15 22 129
"1339" 15 23 137
"1340" 15 24 133
"1341" 15 25 132
"1342" 15 26 122
"1343" 15 27 151
"1344" 15 28 182
"1345" 15 29 166
"1346" 15 30 195
"1347" 15 31 161
"1348" 15 32 144
"1349" 15 33 141
"1350" 15 34 146
"1351" 15 35 138
"1352" 15 36 141
"1353" 15 37 169
